id,givid,rvf_elisa_pn,lepto_elisa_pn,bruc_elisa_pn,qfev_elisa_pn,BVDV_elisa_pn,toxo_elisa_pn,neospora_elisa_pn,district_name,sample_month,animalsex,herdsize_fct,PC1,PC2,PC3,PC4,PC5
TZA000362739665,1904,0,0,0,0,0,0,0,16,2,1,1,0.0313366,0.0237681,-0.0320315,-0.0220563,0.00628293
TZA000362739538,1905,0,0,0,0,0,0,0,16,2,1,2,0.0201702,0.0121083,-0.0154003,-0.0162055,0.0015212
TZA000362739536,1906,0,0,0,0,0,0,0,16,2,1,2,-0.00397629,0.0302291,-0.0228854,-0.0202533,0.0100169
TZA000362769666,1907,0,0,0,0,0,0,0,16,2,1,1,0.0280952,0.00527663,-0.00598341,-0.01525,0.00975991
TZA000362739336,1908,0,1,0,0,0,0,1,16,2,1,1,0.0799415,8.23375e-4,-0.0154336,-0.0139309,-0.00302323
TZA000362739329,1909,0,0,0,0,0,0,0,16,1,1,1,0.00139129,0.00811312,-0.00769285,-0.0184763,0.00757787
TZA000362739368,1910,0,1,0,0,0,0,0,16,1,1,2,0.0520798,0.013889,-0.0160632,-0.0044724,5.27265e-4
TZA000362739490,1911,0,0,0,0,0,0,0,16,2,1,1,0.0249376,0.00927142,-0.0109083,-0.0175734,0.00430667
TZA000362739491,1912,0,0,0,0,0,0,0,16,2,1,1,0.00865098,0.013326,-0.0274629,-0.0109415,0.00410696
TZA000362739512,1913,0,0,0,0,0,0,0,16,2,1,2,-0.0021952,0.0218241,-0.0136562,-0.0133416,0.00662175
TZA000362739513,1914,1,0,0,0,1,0,0,16,2,1,2,0.00168092,0.00688921,-0.00475422,-0.0163577,0.0140308
TZA000362739514,1915,0,0,0,0,1,0,0,16,2,1,2,-0.0116317,-0.00689377,0.0148348,-0.0298088,0.0210849
TZA000362739727,1916,0,0,0,0,0,0,0,16,2,1,1,0.0215096,0.0194007,-0.0246555,-0.0154588,0.00211661
TZA000372739284,1917,0,0,0,1,0,0,0,16,1,1,1,0.0241686,0.00590673,-0.00580245,-0.00518862,-0.00391208
TZA000362739423,1918,0,0,0,0,0,0,0,16,1,1,1,0.0501271,-5.4981e-4,-0.0148207,-0.0152647,0.00307078
TZA000362739324,1919,0,1,0,0,0,0,0,16,2,1,1,0.0683348,0.00829004,-0.0140533,-0.00553857,-0.00575275
TZA000362739409,1920,0,1,0,0,0,0,0,16,2,1,1,0.0408099,0.00966648,-0.0120803,-0.0162622,1.2696e-5
TZA000362739241,1921,0,0,0,0,0,0,0,16,2,1,1,0.0163802,0.0199659,-0.0218861,-0.00672134,-0.00313556
TZA000362739475,1922,0,0,0,0,0,1,0,16,2,1,1,0.00454894,0.0128941,-0.0145988,-0.013367,0.0022816
TZA000362739478,1923,0,0,0,0,0,0,0,16,2,1,1,0.0208294,0.00119989,-0.00341127,-0.0231219,0.0151723
TZA000362739535,1924,0,1,0,0,0,0,1,16,2,2,2,-0.0100446,0.0187475,-0.0139074,-0.0253288,0.011523
TZA000362739482,1925,0,1,0,0,0,0,0,16,2,1,1,0.042432,0.00656592,-0.00488513,-0.0139959,0.00149155
TZA000404005825,1926,0,0,0,0,0,0,0,11,9,1,1,-0.0157914,-0.0308575,0.0011077,0.0117959,0.0243673
TZA000404006081,1927,0,0,0,0,0,0,0,11,9,1,1,-0.00865132,-0.00152984,0.0149416,-0.0208009,0.01484669999999999
TZA000404006083,1928,0,0,0,0,0,0,1,11,9,1,1,-0.0221176,-0.0308677,-0.00286667,-0.0111112,0.0271557
TZA000404007828,1929,0,0,0,0,0,0,1,11,9,1,1,-0.026126,-0.0662579,-0.0396825,0.0292183,0.0203146
TZA000404007829,1930,0,0,0,0,0,1,1,11,9,1,1,-0.0262943,-0.0313384,0.00872807,-0.0313057,0.0248334
TZA000404007593,1931,0,0,0,0,0,0,0,11,9,1,2,-0.0182741,-0.014959,0.011132,-0.0180326,0.0145602
TZA000404007509,1932,0,0,0,0,0,0,0,11,9,1,2,-0.019218,-0.0140687,0.0240536,-0.0172324,0.0209119
TZA000404008052,1933,0,0,0,0,0,0,1,11,9,1,1,-0.0261209,-0.0532992,-0.0138421,-0.0065775,0.00845944
TZA000404005816,1934,0,1,0,0,0,0,0,11,9,1,1,-0.0185048,-0.00682983,0.0166846,-0.0350567,0.0229581
TZA000404008405,1935,0,0,0,0,0,0,1,12,9,1,2,-0.00118082,-0.00802288,0.0115819,-0.02147,0.0189615
TZA000404015336,1936,0,0,0,0,0,0,0,13,9,1,1,-0.0224303,-0.00603832,0.0185074,-0.0259401,0.0227839
TZA000404015333,1937,0,0,0,0,0,0,0,13,9,1,1,-0.0275539,-0.0469997,-0.0128932,0.00268989,0.00889847
TZA000404015215,1938,0,0,0,0,0,0,1,13,9,1,1,-0.0152421,-0.0159784,0.0153615,-0.0274565,0.0205587
TZA000404015116,1939,0,0,0,0,0,0,1,13,9,1,1,-0.0193066,-0.0143491,4.38499e-4,-0.0299196,0.00456286
TZA000404015114,1940,0,0,0,0,0,0,0,13,9,1,1,-0.0226975,-0.0304064,-0.0158048,0.00199029,0.0335426
TZA000404014984,1941,0,0,0,0,1,0,0,13,9,1,1,-0.0199276,-0.00392382,-0.00114142,-0.0354896,0.0244546
TZA000404014978,1942,0,0,0,0,0,0,0,13,9,1,1,-0.0177424,-0.00574267,0.00641886,-0.0307112,0.0188406
TZA000404014977,1943,0,0,0,0,0,0,0,13,9,1,1,-0.00481682,0.0110653,-0.0066527,-0.03048,0.0153324
TZA000404005845,1944,0,0,0,0,0,0,0,11,9,1,1,-0.0241165,-0.0180463,0.0144069,0.0071702,0.0262747
TZA000404007613,1945,0,1,0,0,0,0,1,11,9,1,2,-0.00295784,0.00369984,0.0117668,-0.0124838,0.0141099
TZA000404009452,1946,0,0,0,0,1,0,1,12,9,1,1,-0.0161486,-0.00763912,0.0206562,-0.0270583,0.0174268
